City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,guerrero negro,27.9769,-114.0611,21.51,45,56,1.93,MX,1712855442
82,wotho,10.1657,166.0102,27.12,77,94,9.22,MH,1712855586
83,port elizabeth,-33.918,25.5701,16.17,84,54,3.13,ZA,1712855587
84,ta`u,-14.2336,-169.5144,28.32,81,16,4.14,AS,1712855587
85,koton-karfe,8.1,6.8,39.61,21,21,1.87,NG,1712855587
86,siwa oasis,29.2041,25.5195,25.38,17,0,2.83,EG,1712855587
87,novoutkinsk,56.993,59.5571,6.76,71,90,5.51,RU,1712855587
88,stanley,54.868,-1.6985,14.29,78,20,5.66,GB,1712855587
89,hisor,38.525,68.5512,18.86,44,100,1.13,TJ,1712855587
90,nar'yan-mar,67.6713,53.087,1.73,100,100,7.6,RU,1712855587
91,north bondi,-33.8824,151.2769,14.98,85,12,2.06,AU,1712855587
92,shasta lake,40.6804,-122.3708,22.57,43,4,0.27,US,1712855587
93,balkanabat,39.5108,54.3671,14.56,85,100,4.17,TM,1712855587
94,leongatha,-38.4833,145.95,10.74,85,35,0.85,AU,1712855588
95,port hedland,-20.3167,118.5667,24.03,88,0,3.09,AU,1712855414
96,utrik,11.2278,169.8474,26.64,75,97,9.56,MH,1712855588
97,ciudad lazaro cardenas,17.9583,-102.2,28.45,56,0,3.38,MX,1712855588
98,sal rei,16.1833,-22.9167,24.11,64,20,4.12,CV,1712855588
99,portales,34.1862,-103.3344,13.94,33,0,4.16,US,1712855413
100,bilibino,68.0546,166.4372,-23.73,100,94,0.79,RU,1712855588
101,invercargill,-46.4,168.35,7.79,86,100,1.34,NZ,1712855588
102,codrington,-38.2667,141.9667,13.72,63,100,2.47,AU,1712855395
103,oristano,39.9,8.6,17.12,63,89,2.68,IT,1712855589
104,crane,31.3974,-102.3501,21.53,20,0,3.82,US,1712855589
105,sakiai,54.9547,23.0358,11.78,66,94,4.79,LT,1712855589
106,kapa'a,22.0752,-159.319,23.99,91,75,1.54,US,1712855351
107,plastun,44.7561,136.2939,6.08,81,81,0.51,RU,1712855589
108,yerofey pavlovich,53.9667,121.9667,0.08,87,98,2.1,RU,1712855589
109,menongue,-14.6585,17.691,20.61,84,89,1.71,AO,1712855589
110,udachny,66.4167,112.4,-28.08,100,75,2.11,RU,1712855352
111,miguel alves,-4.1656,-42.8953,33.81,51,83,0.83,BR,1712855589
112,yuzhno-kurilsk,44.0306,145.8556,4.65,76,100,4.49,RU,1712855590
113,qaqortoq,60.7167,-46.0333,-2.78,77,93,2.05,GL,1712855590
114,champerico,14.3,-91.9167,35.3,62,49,4.74,GT,1712855590
115,debre sina,9.85,39.7667,14.76,60,34,0.88,ET,1712855590
116,haiku-pauwela,20.9219,-156.3051,23.91,82,20,4.47,US,1712855590
117,hirara,24.8,125.2833,23.04,84,66,4.79,JP,1712855590
118,sao jose da coroa grande,-8.8978,-35.1478,29.85,68,81,4.01,BR,1712855590
119,nadi,-17.8,177.4167,24.0,94,40,2.06,FJ,1712855371
120,saipan,15.1355,145.701,27.39,83,40,5.66,MP,1712855590
121,moussoro,13.6408,16.4901,36.85,6,63,4.59,TD,1712855590
122,vila franca do campo,37.7167,-25.4333,18.27,99,10,3.26,PT,1712855591
123,mil'kovo,55.6078,37.7956,13.27,50,46,3.64,RU,1712855591
124,antofagasta,-23.65,-70.4,20.55,71,92,3.75,CL,1712855345
125,ad dawadimi,24.5077,44.3924,25.64,16,3,4.01,SA,1712855591
126,georgetown,5.4112,100.3354,28.96,79,20,1.03,MY,1712855370
127,masuda,34.6667,131.85,14.07,77,87,2.71,JP,1712855591
128,arawa,-6.2132,155.5367,25.14,90,94,1.43,PG,1712855591
129,minas de marcona,-15.2119,-75.1103,23.84,54,7,5.19,PE,1712855591
130,narvik,68.4384,17.4272,4.1,91,100,3.62,NO,1712855591
131,la baneza,42.3003,-5.8977,24.27,46,57,0.77,ES,1712855591
132,bubaque,11.2833,-15.8333,24.6,71,0,8.5,GW,1712855591
133,east london,-33.0153,27.9116,17.59,60,97,7.67,ZA,1712855591
134,klyuchi,52.2667,79.1667,0.43,84,94,2.23,RU,1712855592
135,la'ie,21.6477,-157.9253,23.39,85,100,3.13,US,1712855592
136,longyearbyen,78.2186,15.6401,-13.09,61,0,4.12,SJ,1712855592
137,pueblo yaqui,27.35,-110.0333,28.25,14,76,4.34,MX,1712855592
138,khandyga,62.6667,135.6,-1.37,87,100,3.13,RU,1712855592
139,anadyr,64.75,177.4833,-15.0,77,0,5.81,RU,1712855592
140,igrim,63.1906,64.4162,-3.22,95,100,7.92,RU,1712855592
141,igra,57.5558,53.0547,10.25,86,100,6.6,RU,1712855592
142,usinsk,65.9939,57.5281,-0.52,98,100,13.86,RU,1712855592
143,carloforte,39.145,8.3058,14.98,70,79,2.31,IT,1712855592
144,howrah,22.5892,88.3103,27.0,61,40,0.0,IN,1712855592
145,shingu,33.7333,135.9833,12.02,91,86,3.23,JP,1712855412
146,badger,64.8,-147.5333,2.27,69,100,1.54,US,1712855402
147,prince rupert,54.3161,-130.3201,4.05,93,100,3.09,CA,1712855432
148,thompson,55.7435,-97.8558,0.95,99,100,3.61,CA,1712855394
149,cabedelo,-6.9811,-34.8339,32.37,74,100,4.17,BR,1712855593
150,amvrosiyivka,47.7935,38.4777,20.16,42,0,1.57,UA,1712855593
151,kuta,-8.7233,115.1723,27.97,94,20,1.54,ID,1712855593
152,eyl,7.9803,49.8164,28.51,79,11,4.74,SO,1712855400
153,papatowai,-46.5619,169.4708,7.34,90,100,3.47,NZ,1712855593
154,kidal,18.4411,1.4078,39.85,6,100,1.44,ML,1712855593
155,hadibu,12.65,54.0333,28.47,75,4,1.39,YE,1712855593
156,san juan nepomuceno,9.9516,-75.082,37.67,33,33,1.35,CO,1712855294
157,punta arenas,-53.15,-70.9167,10.06,53,0,7.2,CL,1712855464
158,roccella ionica,38.322,16.4009,17.6,71,100,1.81,IT,1712855594
159,keflavik,64.0049,-22.5624,5.24,81,100,10.29,IS,1712855594
160,kamaishi,39.2667,141.8833,9.09,87,100,2.9,JP,1712855594
161,alpena,45.0617,-83.4327,11.18,62,100,2.06,US,1712855594
162,puerto san jose,13.9256,-90.8244,34.03,49,20,3.09,GT,1712855594
163,timbuktu,16.7735,-3.0074,41.85,6,33,5.5,ML,1712855594
164,kargasok,59.0556,80.8572,-11.13,83,93,3.58,RU,1712855594
165,kodinsk,58.6881,99.1844,-5.31,99,100,0.65,RU,1712855385
166,porto novo,6.4965,2.6036,30.6,67,95,4.84,BJ,1712855595
167,souillac,-20.5167,57.5167,25.19,83,87,1.68,MU,1712855401
168,la passe,45.5549,-0.8967,18.13,83,92,3.48,FR,1712855595
169,bandarbeyla,9.4942,50.8122,28.35,81,11,3.55,SO,1712855595
170,alexandria,31.2156,29.9553,18.99,69,0,3.68,EG,1712855497
171,glace bay,46.1969,-59.957,10.18,47,0,5.14,CA,1712855595
172,ngama,11.7833,17.1667,37.3,9,29,3.33,TD,1712855595
173,wajir,1.7471,40.0573,31.57,56,96,2.82,KE,1712855595
174,arraial do cabo,-22.9661,-42.0278,28.92,74,20,4.63,BR,1712855595
175,freetown,8.484,-13.2299,28.21,57,58,3.96,SL,1712855348
176,jinchang,38.4953,102.1739,15.22,35,4,1.41,CN,1712855595
177,saint-georges,12.0564,-61.7485,29.46,67,15,7.02,GD,1712855595
178,ghotki,28.006,69.3161,33.25,12,90,2.94,PK,1712855297
179,acapulco de juarez,16.8634,-99.8901,27.9,69,0,3.6,MX,1712855413
180,barclayville,4.6797,-8.2339,28.83,75,94,2.45,LR,1712855596
181,afaahiti,-17.75,-149.2833,26.93,84,59,8.13,PF,1712855596
182,pelotas,-31.7719,-52.3425,22.01,53,100,5.14,BR,1712855563
183,velika gorica,45.7125,16.0756,20.98,49,0,2.57,HR,1712855596
184,sisophon,13.5859,102.9737,28.71,65,97,4.54,KH,1712855596
